月份,項目,金額,數量,比率,來源,單位,客戶,耗時分鐘
2026/07/09,後段,56.00,206,28.05,已回報,製造,順發,228
2026/06/09,中段,63.17,136,55.59,正常登錄,製造,東昇,229
2026/07/14,前段,1.26,42,55.92,正常登錄,製造,永利,231
2026/07/20,完成,10.09,0,74.13,待確認,研發,東昇,117
2026/07/19,中段,61.40,162,0.60,正常登錄,品保,永利,14
2026/07/22,中段,50.02,0,51.26,已回報,品保,大宏,196
2026/07/26,完成,4.17,167,60.37,正常登錄,製造,力鋼,158
2026/06/05,中段,95.86,73,90.69,已回報,營運,捷欣,225
2026/07/10,完成,71.20,101,70.61,正常登錄,製造,永利,52
2026/06/15,完成,46.96,140,59.14,正常登錄,營運,大宏,162
2026/06/25,中段,66.86,109,28.48,已回報,品保,順發,219
2026/06/06,中段,61.72,70,56.88,已回報,品保,大宏,60
2026/06/08,完成,11.59,155,54.15,已回報,製造,永利,130
2026/06/11,完成,90.83,66,36.82,待確認,製造,大宏,196
2026/06/22,前段,32.38,0,41.67,正常登錄,製造,力鋼,146
2026/06/28,中段,84.72,114,58.43,正常登錄,製造,大宏,128
2026/07/22,中段,78.59,65,2.50,正常登錄,營運,力鋼,149
2026/07/23,中段,64.66,0,32.50,待確認,資材,順發,167
2026/06/07,前段,46.99,224,1.41,正常登錄,資材,捷欣,158
2026/07/21,前段,62.55,15,63.98,正常登錄,營運,永利,83
2026/07/08,中段,6.41,168,13.22,正常登錄,資材,東昇,232
2026/06/10,中段,79.74,71,7.50,待確認,資材,東昇,235
2026/07/30,中段,0.93,6,6.17,待確認,品保,大宏,60
2026/06/11,後段,57.26,0,36.16,待確認,研發,捷欣,36
2026/07/05,前段,63.79,218,52.12,已回報,製造,大宏,11
2026/07/22,後段,43.56,0,91.05,已回報,品保,順發,165
2026/06/23,完成,42.84,226,52.92,正常登錄,品保,捷欣,27
2026/06/05,中段,71.83,16,48.61,正常登錄,研發,大宏,25
2026/06/26,中段,75.81,121,45.72,正常登錄,營運,力鋼,87
2026/06/03,完成,1.28,59,45.91,待確認,營運,永利,203
2026/07/20,前段,79.22,0,73.80,正常登錄,研發,順發,237
2026/07/09,後段,76.08,0,19.58,正常登錄,製造,捷欣,71
2026/07/28,後段,89.96,210,12.34,正常登錄,營運,力鋼,92
2026/07/24,完成,58.56,238,80.17,待確認,資材,捷欣,216
2026/06/09,後段,24.50,183,65.92,正常登錄,製造,順發,228
2026/07/16,前段,27.07,139,61.16,已回報,營運,永利,2
2026/07/30,前段,57.17,0,10.63,正常登錄,品保,捷欣,113
2026/06/20,中段,4.75,0,44.52,正常登錄,資材,永利,47
2026/06/18,中段,48.38,42,61.13,待確認,品保,東昇,170
2026/07/10,中段,31.26,24,68.08,待確認,研發,東昇,59
2026/06/20,完成,39.24,162,87.92,正常登錄,資材,東昇,176
2026/07/15,完成,37.95,195,84.83,正常登錄,營運,永利,210
2026/06/12,前段,95.02,203,97.46,已回報,營運,東昇,12
2026/07/28,中段,0.86,1,74.64,正常登錄,品保,力鋼,11
2026/06/16,後段,20.54,109,10.36,正常登錄,品保,順發,80
2026/06/08,中段,1.66,86,65.16,正常登錄,品保,順發,78
2026/07/27,後段,4.60,174,49.06,已回報,研發,順發,216
2026/06/28,前段,86.05,145,45.42,正常登錄,品保,順發,40
2026/06/28,前段,53.79,181,56.98,正常登錄,研發,捷欣,119
2026/07/25,完成,19.86,225,76.59,正常登錄,資材,永利,209
2026/07/03,完成,15.69,111,41.38,正常登錄,營運,大宏,3
2026/07/11,後段,88.97,0,22.94,正常登錄,研發,順發,146
2026/06/02,後段,5.59,239,23.26,正常登錄,製造,大宏,236
2026/06/07,後段,12.66,0,14.92,正常登錄,資材,力鋼,224
2026/07/04,中段,20.74,154,20.12,待確認,資材,順發,196
2026/07/12,完成,45.10,99,93.76,正常登錄,研發,順發,86
2026/06/09,中段,42.99,187,31.17,已回報,資材,大宏,163
2026/06/02,完成,87.57,155,2.01,正常登錄,製造,永利,116
2026/06/24,完成,70.49,163,75.24,待確認,研發,東昇,220
2026/06/13,後段,12.73,0,75.78,正常登錄,品保,大宏,30
2026/07/05,中段,53.93,47,72.75,正常登錄,品保,永利,200
2026/06/24,後段,65.54,196,36.36,正常登錄,研發,捷欣,170
2026/07/08,後段,61.19,82,63.57,正常登錄,研發,東昇,10
2026/06/21,前段,48.97,231,89.40,正常登錄,製造,大宏,105
2026/07/05,完成,69.26,147,58.60,已回報,資材,捷欣,104
2026/06/24,完成,85.68,65,42.87,待確認,資材,順發,29
2026/06/18,中段,54.82,78,73.24,已回報,營運,永利,234
2026/06/16,中段,53.63,125,11.06,正常登錄,製造,東昇,144
2026/07/23,後段,0.66,3,5.27,正常登錄,製造,捷欣,191
2026/07/18,中段,17.09,67,29.25,正常登錄,品保,東昇,79
2026/07/12,中段,86.34,0,95.70,待確認,製造,東昇,197
2026/07/14,中段,44.33,154,50.23,待確認,製造,力鋼,105
2026/07/24,前段,24.46,105,42.74,正常登錄,資材,捷欣,226
2026/07/22,中段,36.62,49,78.08,正常登錄,研發,大宏,110
2026/07/30,完成,24.03,15,89.53,已回報,製造,東昇,131
2026/06/04,前段,23.31,240,29.65,正常登錄,製造,捷欣,214
2026/06/30,中段,38.28,0,2.99,正常登錄,資材,東昇,203
2026/07/05,前段,5.61,56,85.42,正常登錄,資材,東昇,60
2026/06/22,中段,59.21,0,27.39,正常登錄,營運,大宏,83
2026/06/17,後段,96.88,227,15.77,已回報,營運,順發,69
2026/07/10,前段,18.94,201,40.03,正常登錄,製造,大宏,212
2026/06/04,後段,56.81,214,38.72,正常登錄,營運,東昇,98
2026/07/09,後段,44.12,0,3.60,正常登錄,營運,捷欣,11
2026/06/15,前段,55.09,147,23.28,待確認,研發,永利,158
2026/07/07,後段,30.91,0,96.21,正常登錄,研發,東昇,115
2026/07/13,後段,40.08,128,30.33,待確認,品保,捷欣,23
2026/07/28,後段,80.79,100,10.48,正常登錄,資材,東昇,183
2026/06/11,後段,18.92,0,64.99,正常登錄,品保,捷欣,47
2026/06/23,完成,2.61,220,34.46,待確認,研發,力鋼,103
2026/06/02,後段,18.55,0,69.54,正常登錄,營運,東昇,166
2026/06/25,中段,90.10,214,66.50,待確認,製造,力鋼,103
2026/06/30,前段,18.30,0,8.25,正常登錄,製造,東昇,79
2026/07/10,完成,48.75,175,22.83,已回報,研發,大宏,182
2026/06/21,後段,0.70,0,34.23,待確認,資材,力鋼,140
2026/06/11,中段,67.87,32,86.04,正常登錄,製造,東昇,69
2026/06/15,前段,6.97,0,27.24,正常登錄,研發,東昇,59
2026/06/25,完成,85.28,165,75.56,待確認,營運,捷欣,228
2026/06/13,前段,90.26,151,94.36,正常登錄,營運,大宏,30
2026/06/19,前段,30.12,207,17.02,已回報,資材,大宏,16
2026/07/04,完成,23.84,136,41.85,正常登錄,製造,永利,119
2026/07/09,前段,7.22,235,75.48,已回報,營運,力鋼,125
2026/07/16,中段,93.60,0,65.35,正常登錄,資材,順發,46
2026/06/17,中段,57.88,0,88.49,正常登錄,營運,東昇,19
2026/07/27,後段,55.30,0,34.28,已回報,資材,力鋼,63
2026/06/23,後段,84.35,30,53.93,待確認,營運,永利,235
2026/07/12,前段,93.21,60,29.11,待確認,品保,永利,226
2026/06/18,中段,36.74,0,30.66,待確認,資材,永利,76
2026/06/15,前段,12.16,187,4.87,待確認,營運,捷欣,78
2026/06/16,後段,76.56,32,35.90,正常登錄,品保,順發,62
2026/07/18,完成,15.58,18,50.19,待確認,品保,順發,134
2026/06/10,後段,94.36,0,41.73,已回報,營運,順發,76
2026/06/22,中段,24.72,0,61.68,已回報,營運,順發,189
2026/07/21,中段,7.64,97,62.09,已回報,品保,大宏,11
2026/06/12,中段,11.53,169,48.19,正常登錄,資材,大宏,189
2026/06/14,完成,22.10,143,33.55,正常登錄,資材,東昇,108
2026/06/19,後段,67.90,205,38.89,正常登錄,研發,大宏,51
2026/06/11,完成,15.51,0,45.70,正常登錄,品保,捷欣,110
2026/06/19,前段,34.90,212,26.66,已回報,資材,大宏,88
2026/06/25,中段,82.35,0,81.56,正常登錄,資材,順發,133
2026/07/26,後段,10.26,123,45.88,正常登錄,製造,力鋼,157
2026/07/01,後段,49.76,109,13.89,正常登錄,製造,順發,1
2026/07/10,前段,34.16,0,32.84,正常登錄,資材,東昇,148
2026/06/01,後段,3.46,0,84.10,正常登錄,資材,東昇,12
2026/06/02,前段,53.97,58,61.77,待確認,製造,捷欣,38
2026/06/16,前段,11.34,218,28.38,正常登錄,資材,力鋼,149
2026/07/13,後段,88.00,90,17.10,正常登錄,製造,東昇,159
2026/06/25,完成,47.24,0,46.73,正常登錄,資材,捷欣,211
2026/06/24,中段,10.84,105,63.97,待確認,製造,東昇,101
2026/07/17,後段,82.38,113,87.92,待確認,製造,永利,25
2026/06/18,完成,17.03,162,11.62,正常登錄,營運,力鋼,9
2026/06/20,完成,26.03,130,59.77,正常登錄,資材,捷欣,45
2026/06/02,完成,64.80,0,18.48,待確認,資材,大宏,30
2026/07/09,中段,15.52,165,43.59,已回報,營運,永利,77
2026/06/17,前段,67.46,0,42.75,正常登錄,營運,永利,240
2026/07/26,後段,28.71,0,75.44,正常登錄,製造,力鋼,68
2026/07/24,後段,60.78,93,31.38,正常登錄,品保,永利,83
2026/06/14,前段,58.13,62,18.01,正常登錄,營運,力鋼,32
2026/07/22,前段,34.06,139,31.08,已回報,製造,力鋼,113
2026/07/30,後段,78.51,216,82.42,正常登錄,資材,順發,76
2026/06/30,中段,97.54,206,32.39,正常登錄,資材,永利,87
2026/07/20,中段,2.87,165,29.11,待確認,營運,力鋼,199
2026/06/15,完成,52.54,64,73.67,待確認,研發,順發,98
2026/07/23,中段,39.90,0,76.99,待確認,營運,東昇,125
2026/07/12,前段,15.08,0,34.96,正常登錄,研發,東昇,188
2026/07/26,完成,62.38,50,87.95,已回報,製造,東昇,43
2026/07/22,前段,46.33,199,96.81,正常登錄,研發,東昇,156
2026/07/27,前段,25.09,144,80.27,正常登錄,製造,永利,82
2026/06/26,後段,50.82,89,34.78,待確認,製造,力鋼,166
2026/07/23,中段,59.87,139,88.80,已回報,研發,力鋼,170
2026/06/30,中段,53.02,54,70.10,正常登錄,資材,順發,194
2026/07/09,完成,72.27,169,69.09,已回報,研發,永利,90
2026/07/30,中段,75.64,67,26.76,正常登錄,製造,捷欣,3
2026/07/11,前段,46.67,23,21.24,正常登錄,資材,永利,137
2026/06/29,後段,5541.00,0,76.54,正常登錄,資材,捷欣,102
2026/07/15,前段,81.37,0,5.61,正常登錄,研發,捷欣,70
2026/07/05,前段,46.97,15,69.76,已回報,營運,大宏,33
2026/07/16,前段,48.96,89,96.31,正常登錄,品保,力鋼,101
2026/06/19,中段,71.63,0,54.17,待確認,製造,永利,173
2026/06/22,後段,66.34,198,11.15,已回報,營運,大宏,46
2026/06/28,前段,32.22,211,41.34,正常登錄,品保,捷欣,129
2026/07/24,後段,76.10,43,29.80,正常登錄,研發,永利,46
2026/06/17,後段,50.96,168,47.05,正常登錄,品保,順發,120
2026/06/11,中段,45.29,0,66.15,待確認,研發,大宏,109
2026/07/08,後段,74.61,195,0.78,正常登錄,資材,捷欣,235
2026/06/25,完成,41.78,0,50.50,正常登錄,品保,永利,233
2026/07/21,後段,70.66,231,63.59,正常登錄,營運,大宏,51
2026/06/08,完成,5.26,233,45.18,待確認,品保,力鋼,158
2026/07/07,完成,95.92,145,93.06,正常登錄,資材,大宏,111
2026/07/01,完成,0.40,2,97.20,正常登錄,營運,順發,156
2026/06/02,中段,24.08,63,10.75,待確認,營運,力鋼,155
2026/07/15,後段,51.04,62,33.81,待確認,營運,永利,122
2026/07/07,完成,39.71,79,42.77,正常登錄,製造,永利,37
2026/07/07,完成,48.81,197,39.29,已回報,研發,捷欣,97
2026/07/27,完成,31.21,233,33.83,待確認,品保,永利,110
2026/07/14,後段,60.21,143,2.18,已回報,研發,東昇,49
2026/07/20,中段,46.05,161,42.42,正常登錄,品保,東昇,124
2026/06/06,前段,2.52,201,76.63,正常登錄,研發,大宏,29
2026/06/22,中段,59.88,62,80.15,正常登錄,研發,力鋼,109
2026/06/24,前段,72.11,196,1.68,正常登錄,營運,東昇,140
2026/07/10,中段,83.22,235,53.77,正常登錄,製造,順發,218
2026/07/14,中段,44.02,223,89.23,正常登錄,製造,東昇,140
2026/06/22,前段,39.24,131,67.15,正常登錄,品保,順發,184
2026/06/23,完成,19.25,78,37.89,正常登錄,製造,捷欣,163
2026/07/12,後段,59.54,133,73.61,已回報,品保,東昇,153
2026/07/29,前段,94.55,164,20.56,待確認,資材,大宏,136
2026/07/01,完成,42.14,34,71.51,已回報,資材,東昇,113
2026/07/16,後段,49.18,39,84.50,已回報,製造,大宏,117
2026/07/16,後段,24.80,0,14.83,已回報,營運,順發,33
2026/06/10,中段,65.07,0,68.97,待確認,製造,大宏,163
2026/07/16,後段,83.72,0,64.62,正常登錄,研發,順發,222
2026/06/23,中段,36.88,0,68.59,正常登錄,營運,捷欣,84
2026/06/09,中段,19.75,0,18.38,正常登錄,營運,永利,43
2026/06/23,中段,28.01,232,51.65,正常登錄,資材,永利,129
2026/07/21,前段,0.39,2,87.91,正常登錄,資材,力鋼,159
2026/07/29,前段,77.58,119,19.30,正常登錄,品保,東昇,95
2026/07/04,前段,83.48,0,86.78,正常登錄,品保,捷欣,75
2026/07/29,完成,65.58,130,43.93,正常登錄,資材,捷欣,214
2026/07/08,後段,0.68,1,0.54,待確認,品保,捷欣,195
2026/06/21,中段,35.53,0,2.83,已回報,營運,力鋼,144
2026/07/15,中段,66.18,63,68.13,待確認,資材,東昇,30
2026/06/29,前段,24.74,0,89.25,正常登錄,製造,捷欣,88
2026/07/13,完成,74.98,0,9.99,正常登錄,營運,東昇,200
2026/07/30,後段,38.95,0,8.77,已回報,研發,東昇,198
2026/06/17,完成,19.89,0,45.08,正常登錄,營運,東昇,33
2026/07/03,完成,5.57,0,47.57,正常登錄,營運,大宏,212
2026/07/14,完成,46.80,163,91.93,待確認,營運,順發,57
2026/07/01,前段,56.95,0,76.32,正常登錄,資材,順發,155
2026/06/26,中段,48.44,47,7.60,正常登錄,營運,順發,210
2026/06/21,完成,44.55,45,24.82,正常登錄,製造,順發,213
2026/07/24,完成,12.85,10,23.67,已回報,營運,順發,102
2026/06/12,前段,63.97,75,58.88,已回報,營運,力鋼,93
2026/07/09,完成,14.90,42,7.01,正常登錄,營運,永利,106
2026/07/12,完成,42.95,141,90.26,正常登錄,研發,永利,78
2026/06/03,完成,71.54,76,89.88,待確認,品保,永利,104
2026/06/08,中段,35.71,0,47.31,正常登錄,品保,捷欣,127
2026/07/23,前段,69.62,68,38.72,正常登錄,製造,東昇,57
2026/07/09,完成,60.58,228,54.80,正常登錄,營運,順發,216
2026/07/07,中段,58.35,174,35.79,已回報,資材,東昇,18
2026/06/15,前段,90.95,0,10.96,正常登錄,製造,捷欣,33
2026/07/09,中段,32.01,180,29.33,正常登錄,製造,力鋼,230
2026/06/13,中段,86.59,0,10.70,已回報,品保,永利,95
2026/07/29,中段,3.75,97,71.08,正常登錄,研發,永利,88
2026/07/11,中段,72.72,119,30.62,正常登錄,營運,永利,157
2026/07/03,中段,28.96,9,94.42,正常登錄,製造,捷欣,121
2026/06/01,前段,38.41,21,85.04,正常登錄,營運,力鋼,6
2026/06/22,中段,4.51,227,12.63,正常登錄,研發,順發,137
2026/07/22,前段,29.32,220,8.00,正常登錄,製造,東昇,38
2026/06/25,完成,82.50,0,68.01,正常登錄,營運,捷欣,158
2026/06/14,後段,57.93,120,83.54,已回報,資材,順發,150
2026/06/08,中段,48.86,0,70.66,已回報,製造,力鋼,209
2026/07/29,中段,1.23,218,26.61,正常登錄,營運,東昇,213
2026/06/26,前段,61.22,119,85.35,待確認,研發,東昇,100
2026/06/04,前段,92.53,113,40.74,待確認,資材,大宏,191
2026/06/26,前段,53.83,80,62.95,正常登錄,品保,力鋼,32
2026/06/09,中段,51.59,174,16.22,正常登錄,品保,順發,187
2026/06/21,後段,73.08,151,19.92,正常登錄,營運,捷欣,40
2026/06/11,前段,77.37,216,3.08,已回報,品保,東昇,18
2026/06/12,後段,56.14,0,48.13,正常登錄,研發,捷欣,215
2026/07/11,後段,13.54,166,77.83,待確認,資材,力鋼,123
2026/07/16,中段,20.58,0,18.35,正常登錄,資材,東昇,182
2026/07/30,中段,46.44,201,14.68,正常登錄,資材,力鋼,68
2026/07/16,完成,12.16,121,94.75,正常登錄,製造,順發,123
2026/07/05,前段,60.97,0,78.16,正常登錄,製造,永利,62
2026/07/25,完成,91.05,0,75.97,待確認,製造,力鋼,174
2026/06/24,前段,97.12,171,11.28,正常登錄,資材,永利,187
2026/06/22,中段,85.56,0,73.16,待確認,營運,捷欣,34
2026/07/05,中段,8.97,0,53.87,已回報,營運,捷欣,158
2026/07/17,後段,74.61,0,84.60,正常登錄,營運,力鋼,199
2026/06/15,中段,67.80,91,87.89,待確認,製造,捷欣,71
2026/07/27,前段,19.26,201,86.40,已回報,資材,力鋼,171
2026/07/09,後段,28.01,217,69.91,已回報,製造,永利,137
2026/07/23,後段,44.50,132,58.52,待確認,營運,力鋼,75
2026/07/11,前段,16.68,0,45.06,待確認,品保,永利,199
2026/07/17,中段,0.62,6,12.04,正常登錄,研發,東昇,185
2026/07/20,中段,21.34,0,0.55,已回報,製造,永利,144
2026/07/09,後段,80.43,184,23.14,正常登錄,製造,永利,240
2026/07/06,後段,89.20,120,78.72,待確認,研發,東昇,131
2026/06/25,完成,88.45,72,26.79,已回報,品保,大宏,143
2026/07/13,前段,51.80,0,14.96,已回報,資材,大宏,176
2026/07/08,前段,62.59,154,16.32,正常登錄,研發,順發,148
2026/06/15,中段,22.45,85,97.03,正常登錄,資材,順發,234
2026/06/19,完成,80.93,99,36.48,已回報,資材,東昇,237
2026/06/18,前段,62.69,222,22.46,正常登錄,營運,永利,66
2026/07/05,中段,57.85,0,22.78,正常登錄,營運,力鋼,12
2026/06/20,中段,51.28,185,23.69,已回報,品保,力鋼,113
2026/07/04,前段,19.75,0,47.75,待確認,研發,東昇,5
2026/06/25,完成,11.27,35,28.07,待確認,營運,東昇,1
2026/07/18,中段,0.58,3,57.06,正常登錄,製造,力鋼,26
2026/07/02,前段,54.99,70,1.89,待確認,研發,永利,212
2026/07/07,後段,12.32,0,60.13,正常登錄,研發,力鋼,206
2026/07/07,完成,78.40,203,78.48,正常登錄,研發,捷欣,67
2026/06/29,前段,31.33,0,9.78,正常登錄,資材,捷欣,222
2026/07/27,後段,23.50,71,53.25,正常登錄,研發,順發,206
2026/07/05,前段,73.14,83,8.66,正常登錄,品保,大宏,105
2026/06/08,後段,60.23,9,47.23,待確認,製造,東昇,181
2026/07/02,前段,61.54,0,38.02,正常登錄,品保,力鋼,224
2026/07/28,中段,47.02,204,18.02,正常登錄,資材,永利,185
2026/07/23,後段,59.58,164,35.04,正常登錄,營運,永利,122
2026/07/01,完成,59.23,99,96.79,待確認,資材,東昇,84
2026/06/19,前段,36.43,25,72.94,已回報,品保,東昇,127
2026/06/17,完成,38.12,144,52.41,已回報,製造,大宏,200
2026/07/06,後段,12.74,233,37.29,正常登錄,品保,永利,103
2026/07/03,前段,70.53,49,21.05,正常登錄,品保,大宏,12
2026/06/11,前段,8.88,130,70.36,待確認,資材,永利,52
2026/06/29,中段,71.70,220,30.33,正常登錄,營運,永利,171
2026/07/28,完成,38.33,0,74.68,正常登錄,品保,永利,46
2026/06/17,後段,45.39,193,61.14,待確認,製造,永利,130
2026/06/02,中段,45.91,26,17.26,正常登錄,資材,大宏,187
2026/06/28,完成,38.36,129,79.47,已回報,營運,順發,221
2026/07/12,後段,0.54,98,81.98,正常登錄,製造,大宏,71
2026/06/19,完成,79.99,0,3.38,正常登錄,研發,永利,167
2026/06/14,前段,69.16,0,37.82,已回報,製造,大宏,202
2026/07/15,完成,10.85,227,89.95,正常登錄,營運,順發,207
2026/06/08,完成,30.77,0,79.49,正常登錄,製造,捷欣,71
2026/06/20,完成,52.87,80,37.06,待確認,營運,東昇,24
2026/06/08,完成,14.30,236,45.36,正常登錄,資材,永利,31
2026/07/29,前段,32.62,65,50.58,已回報,營運,永利,193
2026/07/14,完成,26.98,177,90.95,正常登錄,資材,大宏,124
2026/06/11,完成,6.18,0,17.25,已回報,品保,力鋼,214
2026/07/23,前段,34.57,0,24.44,正常登錄,製造,捷欣,147
2026/07/09,完成,51.77,180,74.88,待確認,研發,捷欣,187
2026/07/02,後段,48.79,181,56.53,已回報,研發,永利,68
2026/06/04,前段,83.13,145,23.37,待確認,資材,順發,157
2026/06/25,中段,13.09,237,59.65,正常登錄,製造,捷欣,164
2026/06/30,後段,6.54,0,31.56,待確認,製造,捷欣,85
2026/07/13,完成,26.01,194,37.72,正常登錄,研發,東昇,126
2026/07/23,完成,82.13,118,23.12,已回報,品保,捷欣,138
2026/07/05,後段,68.64,0,40.68,正常登錄,營運,力鋼,220
2026/07/06,前段,9.90,98,25.84,正常登錄,研發,大宏,117
2026/07/06,中段,82.07,80,91.40,待確認,品保,順發,151
2026/07/11,前段,12.15,97,20.25,已回報,營運,大宏,105
2026/06/22,完成,39.56,48,11.62,正常登錄,品保,大宏,189
2026/07/08,中段,72.31,33,89.76,正常登錄,研發,順發,38
2026/07/08,完成,96.40,0,83.94,正常登錄,營運,順發,46
2026/07/10,後段,96.56,144,16.99,正常登錄,製造,大宏,107
2026/06/17,中段,24.01,121,48.17,正常登錄,研發,順發,17
2026/07/24,前段,30.73,79,26.96,已回報,製造,東昇,177
2026/07/15,完成,54.05,188,47.71,正常登錄,品保,大宏,222
2026/06/23,前段,52.44,82,12.10,正常登錄,品保,捷欣,228
2026/06/03,中段,62.43,217,18.10,已回報,營運,捷欣,196
2026/06/06,前段,11.29,188,55.17,正常登錄,製造,捷欣,91
2026/06/23,中段,69.02,129,17.12,已回報,製造,力鋼,15
2026/07/21,完成,78.61,15,10.72,正常登錄,製造,力鋼,87
2026/06/19,前段,7.96,154,85.38,待確認,營運,東昇,48
2026/06/07,後段,15.85,23,81.00,正常登錄,營運,永利,7
2026/07/09,後段,12.94,28,18.82,正常登錄,研發,大宏,183
2026/06/29,中段,92.64,0,57.63,正常登錄,營運,東昇,71
2026/06/21,完成,28.30,142,32.39,待確認,研發,永利,207
2026/07/06,完成,16.62,235,72.70,正常登錄,製造,捷欣,160
2026/06/10,完成,43.16,0,76.65,待確認,研發,東昇,212
2026/07/08,中段,39.89,166,6.77,待確認,營運,大宏,48
2026/06/06,完成,96.82,0,60.07,正常登錄,資材,永利,80
2026/06/27,後段,46.11,176,90.46,正常登錄,製造,東昇,136
2026/06/13,中段,84.55,81,61.75,正常登錄,營運,東昇,88
2026/07/29,後段,97.17,0,82.28,待確認,製造,永利,155
2026/06/23,中段,24.64,206,17.29,正常登錄,品保,捷欣,221
2026/06/08,後段,2.08,63,8.49,正常登錄,製造,力鋼,236
2026/06/03,完成,15.20,0,57.81,待確認,研發,大宏,98
2026/06/17,後段,5.63,230,7.59,正常登錄,資材,大宏,27
2026/06/28,完成,10.68,34,97.75,正常登錄,品保,力鋼,106
2026/06/01,前段,3.56,0,26.37,正常登錄,研發,力鋼,180
2026/07/09,後段,22.63,16,19.54,待確認,資材,捷欣,103
2026/07/05,中段,73.75,0,51.81,正常登錄,資材,東昇,40
2026/06/14,後段,85.66,100,2.64,已回報,品保,順發,149
2026/06/07,前段,9.89,47,94.76,正常登錄,營運,力鋼,90
2026/06/11,後段,23.62,20,43.20,正常登錄,營運,順發,234
2026/06/22,前段,76.24,148,12.87,待確認,研發,大宏,92
2026/07/07,前段,16.87,202,59.39,已回報,資材,東昇,137
2026/07/29,完成,59.18,45,55.86,已回報,品保,永利,197
2026/06/15,後段,92.63,157,66.27,已回報,品保,捷欣,72
2026/06/18,後段,59.02,39,72.37,待確認,品保,大宏,122
2026/07/04,中段,6.63,127,55.80,正常登錄,品保,捷欣,131
2026/07/09,中段,46.45,0,31.36,待確認,品保,順發,51
2026/07/17,後段,53.49,41,52.81,正常登錄,資材,大宏,215
2026/07/19,完成,44.17,0,48.34,正常登錄,營運,順發,129
2026/07/18,中段,85.91,97,21.42,已回報,品保,捷欣,197
2026/06/17,後段,0.29,2,47.20,正常登錄,資材,力鋼,91
2026/07/12,後段,59.04,222,97.76,待確認,資材,大宏,152
2026/06/06,完成,33.61,49,37.30,正常登錄,品保,大宏,237
2026/06/27,完成,63.16,214,11.37,待確認,製造,順發,64
2026/06/07,完成,62.32,106,83.33,待確認,營運,永利,238
2026/06/04,完成,93.50,143,58.90,正常登錄,品保,東昇,41
2026/07/12,完成,11.82,194,73.00,待確認,品保,永利,141
2026/07/02,前段,59.87,129,62.20,待確認,品保,順發,132
2026/07/12,後段,16.84,0,90.05,正常登錄,營運,大宏,234
2026/07/06,完成,94.37,165,47.82,正常登錄,研發,順發,86
2026/07/14,後段,8.41,92,15.53,正常登錄,研發,捷欣,106
2026/07/08,前段,82.29,181,58.65,正常登錄,營運,捷欣,133
2026/07/19,中段,15.14,179,89.29,待確認,研發,東昇,38
2026/06/09,中段,17.36,237,38.42,正常登錄,製造,順發,217
2026/06/12,完成,36.02,0,24.68,正常登錄,研發,力鋼,85
2026/06/29,完成,24.05,225,77.60,已回報,製造,順發,6
2026/06/06,前段,19.21,0,84.28,正常登錄,製造,力鋼,110
2026/07/28,中段,41.96,88,78.82,已回報,品保,順發,189
2026/06/01,前段,5.95,126,24.07,待確認,研發,大宏,81
2026/07/08,完成,35.12,92,67.97,正常登錄,資材,東昇,106
2026/07/22,中段,43.31,108,20.55,正常登錄,資材,東昇,119
2026/07/27,前段,25.36,209,18.49,正常登錄,資材,力鋼,199
2026/07/05,中段,82.03,22,43.87,待確認,資材,大宏,71
2026/07/24,完成,13.54,0,29.40,正常登錄,製造,大宏,45
2026/06/24,中段,56.04,0,55.06,正常登錄,品保,大宏,239
2026/06/28,完成,76.79,0,92.51,正常登錄,製造,力鋼,111
2026/07/06,後段,17.24,52,85.97,正常登錄,營運,永利,182
2026/07/17,中段,48.53,0,44.70,正常登錄,研發,順發,136
2026/06/29,前段,79.34,154,85.15,正常登錄,製造,力鋼,137
2026/06/28,前段,59.24,0,27.82,待確認,研發,力鋼,237
2026/06/14,後段,25.22,65,2.90,正常登錄,資材,大宏,118
2026/06/25,後段,19.82,0,32.32,已回報,營運,捷欣,138
2026/07/29,完成,20.49,0,13.55,已回報,資材,捷欣,39
2026/07/09,中段,34.78,0,16.16,已回報,研發,大宏,165
2026/07/17,前段,14.58,81,35.90,正常登錄,品保,永利,113
2026/07/22,後段,76.38,87,40.01,正常登錄,營運,永利,175
2026/07/26,中段,70.64,0,93.83,正常登錄,品保,永利,188
2026/06/19,中段,29.92,136,57.13,正常登錄,品保,東昇,169
2026/06/20,中段,88.52,92,57.42,待確認,製造,永利,52
2026/07/19,後段,90.11,0,58.55,已回報,資材,東昇,54
2026/07/18,前段,54.90,0,83.37,正常登錄,製造,順發,119
2026/07/07,後段,27.12,46,23.98,正常登錄,研發,永利,209
2026/07/14,後段,25.98,0,54.68,正常登錄,營運,捷欣,219
2026/07/04,後段,89.31,158,11.11,待確認,品保,東昇,39
2026/06/23,完成,34.16,39,52.08,正常登錄,研發,東昇,56
2026/07/06,完成,78.77,0,89.05,已回報,製造,永利,199
2026/06/10,前段,79.14,38,80.89,正常登錄,品保,捷欣,165
2026/06/19,前段,7.17,206,49.74,已回報,研發,東昇,193
2026/06/04,完成,66.38,98,86.01,正常登錄,營運,捷欣,71
2026/07/21,完成,77.03,0,26.90,已回報,製造,順發,70
2026/06/03,完成,10.16,226,23.43,待確認,製造,東昇,8
2026/07/18,中段,73.79,0,11.53,正常登錄,研發,捷欣,124
